,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
348,Bogande,BF,12.9714,-0.1436,74.53,85,93,5.99,light rain
349,Pitea,SE,65.3172,21.4794,53.69,69,1,7.78,clear sky
350,Kaitangata,NZ,-46.2817,169.8464,41.32,89,14,3.33,few clouds
351,Karasjok,NO,69.4719,25.5112,49.53,80,75,17.4,broken clouds
352,Karasuk,RU,53.7377,78.0403,55.24,60,1,7.7,clear sky
353,Vega De Alatorre,MX,20.0333,-96.6333,87.66,67,100,17.72,overcast clouds
354,Port Macquarie,AU,-31.4333,152.9167,53.49,100,100,0.0,overcast clouds
355,Araguacu,BR,-12.9306,-49.8264,90.14,20,9,2.62,clear sky
356,Lazaro Cardenas,MX,17.9583,-102.2,86.0,64,99,9.78,overcast clouds
357,Kaeo,NZ,-35.1,173.7833,55.33,95,58,8.68,broken clouds
358,Joao Pinheiro,BR,-17.7425,-46.1725,77.86,28,13,0.36,few clouds
359,Ibimirim,BR,-8.5406,-37.6903,73.11,71,75,14.99,broken clouds
360,Kawalu,ID,-7.3817,108.2082,69.26,91,100,1.19,overcast clouds
361,Cherskiy,RU,68.75,161.3,57.67,64,100,10.29,light rain
362,Saskylakh,RU,71.9167,114.0833,36.84,86,99,8.95,overcast clouds
363,Opuwo,NA,-18.0607,13.84,67.19,34,0,5.03,clear sky
364,Ust-Ishim,RU,57.6935,71.1665,53.85,80,3,6.53,clear sky
365,Manoel Urbano,BR,-8.8389,-69.2597,91.83,40,100,5.48,overcast clouds
366,Gouyave,GD,12.1646,-61.7296,81.45,78,16,11.07,few clouds
367,Awbari,LY,26.5921,12.7805,88.63,17,0,8.77,clear sky
368,Husavik,IS,66.0449,-17.3389,48.76,68,100,0.25,overcast clouds
369,Guerrero Negro,MX,27.9769,-114.0611,77.45,62,10,16.13,clear sky
370,Kuito,AO,-12.3833,16.9333,67.51,47,94,3.27,overcast clouds
371,Acapulco,MX,16.8634,-99.8901,87.62,70,75,3.44,broken clouds
372,Thompson,CA,55.7435,-97.8558,75.36,64,75,0.0,thunderstorm
373,Lekoni,GA,-1.5843,14.2591,80.82,54,97,4.61,overcast clouds
374,Kashi,CN,39.4547,75.9797,60.01,94,40,2.24,scattered clouds
375,Riwaka,NZ,-41.0833,173.0,46.26,80,34,2.98,scattered clouds
376,High Prairie,CA,55.4334,-116.4858,65.19,46,100,14.63,overcast clouds
377,Devils Lake,US,48.1128,-98.8651,75.18,43,40,12.66,scattered clouds
378,Matamoros,MX,25.5333,-103.25,91.51,33,75,3.44,broken clouds
379,Deputatskiy,RU,69.3,139.9,48.76,68,69,1.81,broken clouds
380,Tagab,AF,34.855,69.6492,68.5,35,0,4.94,clear sky
381,Mosetse,BW,-20.75,26.65,69.67,27,0,16.64,clear sky
382,Lecce,IT,40.2167,18.1667,82.85,100,0,2.3,clear sky
383,Erzin,TR,36.9559,36.2,78.8,36,0,2.39,clear sky
384,Hambantota,LK,6.1241,81.1185,77.34,100,20,3.44,few clouds
385,Umm Lajj,SA,25.0213,37.2685,91.42,42,30,4.03,scattered clouds
386,Port Keats,AU,-14.25,129.55,70.48,71,0,3.65,clear sky
387,Mahon,ES,39.8885,4.2658,79.36,69,20,4.61,few clouds
388,Korkino,RU,54.8913,61.3969,55.24,52,12,6.22,few clouds
389,Aguimes,ES,27.9054,-15.4461,71.65,64,20,15.01,few clouds
390,Kanye,BW,-24.9667,25.3327,63.25,22,0,8.46,clear sky
391,Smithers,CA,54.7804,-127.1743,62.92,72,100,6.91,light rain
392,Kavieng,PG,-2.5744,150.7967,82.53,76,39,16.33,light rain
393,Honiara,SB,-9.4333,159.95,79.23,81,9,5.86,clear sky
394,Alta Floresta,BR,-9.8756,-56.0861,96.55,18,27,5.88,scattered clouds
395,Panjab,AF,34.388,67.0233,52.32,36,0,4.85,clear sky
396,Bonavista,CA,48.6499,-53.1147,65.66,67,11,10.09,few clouds
397,Waitati,NZ,-45.75,170.5667,47.8,73,44,6.58,scattered clouds
398,Atyrau,KZ,47.1167,51.8833,71.62,35,0,6.71,clear sky
399,Coihaique,CL,-45.5752,-72.0662,52.41,43,0,5.75,clear sky
400,Kerman,IR,30.2832,57.0788,67.86,12,0,11.5,clear sky
401,Vigrestad,NO,58.5667,5.7,57.58,83,8,16.78,clear sky
402,Hwange,ZW,-18.3693,26.5019,70.99,35,0,1.36,clear sky
403,La Antigua,CO,6.7153,-76.079,63.5,91,99,3.36,overcast clouds
404,Keta,GH,5.9179,0.9879,77.22,83,74,8.03,broken clouds
405,Santa Elena,EC,-2.2333,-80.85,72.95,78,75,9.22,broken clouds
406,Tomohon,ID,1.3346,124.8392,63.54,89,85,2.55,overcast clouds
407,Rocha,UY,-34.4833,-54.3333,44.22,61,22,10.96,few clouds
408,Cap Malheureux,MU,-19.9842,57.6142,69.48,83,26,1.99,scattered clouds
409,Lagos,NG,6.5833,3.75,77.32,90,73,3.62,broken clouds
410,Mogadishu,SO,2.0371,45.3438,75.76,80,86,16.13,overcast clouds
411,Miri,MY,4.4148,114.0089,75.34,94,40,2.3,scattered clouds
412,Phon,TH,15.816,102.5998,79.32,82,13,1.77,few clouds
413,Hamilton,US,39.1834,-84.5333,93.83,52,40,9.22,scattered clouds
414,Larkana,PK,27.5551,68.2141,81.95,79,18,7.09,few clouds
415,Mayo,US,38.8876,-76.5119,92.12,67,0,10.36,clear sky
416,Santa Marta,CO,11.2408,-74.199,82.96,73,100,2.06,overcast clouds
417,Hecun,CN,36.5333,114.1111,58.05,92,39,2.1,scattered clouds
418,Kristiansund,NO,63.1115,7.732,52.45,76,75,8.05,broken clouds
419,Tayoltita,MX,24.0833,-105.9333,75.87,91,72,4.5,broken clouds
420,Virtsu,EE,58.5716,23.5115,66.06,69,6,7.63,clear sky
421,Healesville,AU,-37.65,145.5167,61.23,93,52,4.45,broken clouds
422,Songjianghe,CN,42.1859,127.479,51.98,82,100,2.62,light rain
423,Inuvik,CA,68.3499,-133.7218,50.76,81,100,6.91,light intensity drizzle
424,Nuuk,GL,64.1835,-51.7216,52.41,46,40,6.91,scattered clouds
425,Alice Springs,AU,-23.7,133.8833,44.15,45,72,2.3,broken clouds
426,Barreirinha,BR,-2.7933,-57.07,84.92,59,89,1.68,overcast clouds
427,Skagen,DK,57.7209,10.5839,63.19,78,90,21.65,overcast clouds
428,Zavitinsk,RU,50.1167,129.45,53.74,97,100,6.67,overcast clouds
429,Marawi,PH,7.9986,124.2928,68.31,94,67,1.86,broken clouds
430,Nivala,FI,63.9167,24.9667,48.69,82,100,4.03,overcast clouds
431,Yelan-Koleno,RU,51.1523,41.2306,77.92,21,38,14.58,scattered clouds
432,Tefe,BR,-3.3542,-64.7114,87.91,66,20,4.61,few clouds
433,Cockburn Town,TC,21.4612,-71.1419,83.23,79,71,19.37,broken clouds
434,Usolye,RU,59.4268,56.6808,60.03,88,33,5.21,light rain
435,Oksfjord,NO,70.2396,22.3479,52.0,90,100,7.38,overcast clouds
436,Isangel,VU,-19.55,169.2667,73.51,94,75,2.3,broken clouds
437,Bandarbeyla,SO,9.4942,50.8122,75.15,85,24,26.06,few clouds
438,San Patricio,US,28.017,-97.5169,94.15,51,2,12.35,clear sky
439,Aosta,IT,45.7667,7.4167,56.35,74,19,1.99,few clouds
440,Shahgarh,IN,24.3167,79.1333,75.6,91,100,2.01,overcast clouds
441,Lodwar,KE,3.1191,35.5973,84.06,37,6,10.11,clear sky
442,Zhanaozen,KZ,43.3,52.8,78.87,20,0,8.3,clear sky
443,La Asuncion,VE,11.0333,-63.8628,83.52,73,1,10.02,clear sky
444,Sale,MA,34.0389,-6.8166,72.28,83,75,4.61,broken clouds
445,Tucurui,BR,-3.7661,-49.6725,88.12,39,69,4.85,broken clouds
446,Bushenyi,UG,-0.5853,30.2114,64.76,83,96,0.6,light rain
447,Arroio Grande,BR,-32.2375,-53.0869,46.81,64,31,5.79,scattered clouds
448,Kuala Lipis,MY,4.1842,102.0468,71.89,100,93,0.18,overcast clouds
449,Russell,US,32.3502,-85.1999,90.55,55,0,0.0,clear sky
450,Holme,DK,56.1138,10.1725,62.17,89,100,12.08,overcast clouds
451,Pinawa,CA,50.1489,-95.8811,81.61,46,100,11.86,overcast clouds
452,Khani,GE,41.9563,42.9566,65.77,80,5,2.59,clear sky
453,Sabha,LY,27.0377,14.4283,88.32,23,0,16.58,clear sky
454,Grand Gaube,MU,-20.0064,57.6608,69.39,83,32,1.99,scattered clouds
455,Pemba,MZ,-12.974,40.5178,74.1,83,20,3.44,few clouds
456,Lindi,TZ,-10.0,39.7167,66.34,85,5,3.69,clear sky
457,Warrington,GB,53.3925,-2.5802,67.26,74,0,12.66,clear sky
458,Dagda,LV,56.0951,27.5372,65.08,61,99,3.47,overcast clouds
459,Udachnyy,RU,66.4167,112.4,46.45,93,100,18.41,overcast clouds
460,Naze,JP,28.3667,129.4833,77.92,81,99,4.18,overcast clouds
461,Axim,GH,4.8699,-2.2405,74.93,84,73,7.54,broken clouds
462,Qui Nhon,VN,13.7667,109.2333,77.5,87,100,5.01,overcast clouds
463,Hyeres,FR,43.1167,6.1167,77.68,57,0,4.61,clear sky
464,Garissa,KE,-0.4536,39.6401,73.56,72,16,23.09,few clouds
465,Erenhot,CN,43.6475,111.9767,55.15,77,89,6.31,overcast clouds
466,Nalut,LY,30.3333,10.85,92.12,15,81,6.76,broken clouds
467,Catio,GW,11.2833,-15.25,76.28,95,100,6.78,light rain
468,North Bend,US,43.4065,-124.2243,82.24,83,0,25.32,clear sky
469,Haimen,CN,23.1935,116.6142,80.49,89,98,5.5,overcast clouds
470,Prieska,ZA,-29.6641,22.7474,55.94,29,0,11.68,clear sky
471,Cache Creek,CA,50.8101,-121.3246,77.92,36,12,6.49,few clouds
472,Priiskovyy,RU,51.9333,116.6333,51.13,81,95,2.06,overcast clouds
473,Pitangui,BR,-19.6828,-44.8903,77.72,30,11,0.67,few clouds
474,Nouadhibou,MR,20.931,-17.0347,73.38,73,0,20.71,clear sky
475,San Felipe,VE,10.3399,-68.7425,85.03,59,100,4.45,overcast clouds
476,Sao Joao Dos Patos,BR,-6.495,-43.7022,83.32,31,55,3.87,broken clouds
477,Manaure,CO,11.7751,-72.4445,88.59,60,57,7.52,broken clouds
478,Vostok,RU,46.4856,135.8833,48.67,95,100,3.8,overcast clouds
479,Morros,BR,-9.4467,-46.3003,83.82,21,16,4.07,few clouds
480,Cidreira,BR,-30.1811,-50.2056,51.53,57,62,17.56,broken clouds
481,Bizhbulyak,RU,53.6967,54.2642,66.18,46,97,4.07,overcast clouds
482,Comodoro Rivadavia,AR,-45.8667,-67.5,60.66,23,0,9.22,clear sky
483,Cologne,DE,50.9333,6.95,66.85,59,0,5.75,clear sky
484,Surt,LY,31.2089,16.5887,80.94,73,0,9.22,clear sky
485,Charters Towers,AU,-20.1,146.2667,60.91,91,29,8.16,scattered clouds
486,Roswell,US,34.0232,-84.3616,91.51,59,20,9.22,few clouds
487,Saint-Francois,FR,46.4154,3.9054,66.67,77,0,0.0,clear sky
488,Khanpur,PK,28.6453,70.6567,86.36,64,98,10.47,overcast clouds
489,Kenora,CA,49.8167,-94.4337,76.17,73,100,12.66,overcast clouds
490,Arman,RU,59.7,150.1667,52.02,96,100,5.97,moderate rain
491,Orhei,MD,47.3831,28.8231,74.89,33,24,2.08,light rain
492,Alushta,UA,44.6667,34.4167,76.44,71,51,8.9,broken clouds
493,Asyut,EG,27.181,31.1837,87.98,35,0,12.24,clear sky
494,Westport,US,41.1415,-73.3579,84.31,67,0,11.5,clear sky
495,Saint Anthony,US,45.0205,-93.218,78.85,79,100,8.05,overcast clouds
496,Tolaga Bay,NZ,-38.3667,178.3,50.36,76,100,13.31,overcast clouds
497,Colquiri,BO,-17.4167,-67.1333,41.86,51,9,19.19,clear sky
498,Camana,PE,-16.6228,-72.7111,63.34,76,99,7.72,overcast clouds
499,Krasnyy Yar,RU,46.5331,48.3456,71.53,38,0,8.61,clear sky
500,Hasaki,JP,35.7333,140.8333,70.29,77,9,16.82,clear sky
501,Moron,AR,-34.6534,-58.6198,54.01,40,1,4.74,clear sky
502,Tessalit,ML,20.1986,1.0114,91.96,34,30,11.41,scattered clouds
503,Payakumbuh,ID,-0.2202,100.6308,70.18,96,98,1.3,overcast clouds
504,Lishan,CN,31.8576,113.2951,67.41,83,99,6.11,overcast clouds
505,Changji,CN,44.0167,87.3167,68.79,37,0,4.47,clear sky
506,Laguna,US,38.421,-121.4238,93.09,38,0,8.05,clear sky
507,Sao Filipe,CV,14.8961,-24.4956,77.81,80,55,13.06,light rain
508,Poltavka,RU,54.3663,71.7632,55.72,54,6,7.85,clear sky
509,Richards Bay,ZA,-28.783,32.0377,68.7,81,0,10.22,clear sky
510,Morondava,MG,-20.2833,44.2833,72.14,78,52,10.45,broken clouds
511,Amapa,BR,1.0,-52.0,81.82,64,94,3.51,overcast clouds
512,Inirida,CO,3.8653,-67.9239,77.45,90,87,0.67,overcast clouds
513,Oga,IT,46.4631,10.347,59.68,90,85,3.58,overcast clouds
514,Sioux Lookout,CA,50.1001,-91.917,77.07,69,75,10.36,broken clouds
515,Bud,US,39.447,-86.1758,93.2,72,88,7.85,overcast clouds
516,Poum,NC,-20.2333,164.0167,72.86,79,54,9.78,broken clouds
517,Miyako,JP,39.6367,141.9525,61.65,83,1,3.69,clear sky
518,Areia Branca,BR,-4.9561,-37.1369,82.6,76,20,15.05,few clouds
519,Muros,ES,42.7762,-9.0603,69.67,87,64,2.04,broken clouds
520,Anadyr,RU,64.75,177.4833,57.7,76,20,4.47,few clouds
521,Ayabe,JP,35.3,135.25,65.84,92,19,1.23,few clouds
522,Najran,SA,17.4924,44.1277,83.05,31,99,15.3,overcast clouds
523,Kisangani,CD,0.5167,25.2,71.04,97,100,0.16,overcast clouds
524,Ostrovnoy,RU,68.0531,39.5131,52.47,86,41,8.75,scattered clouds
525,Sarangani,PH,5.4033,125.4636,83.43,74,14,10.78,few clouds
526,Kankon,IN,15.0167,74.0167,78.6,90,100,6.93,overcast clouds
527,Isiolo,KE,0.3546,37.5822,68.68,59,62,16.26,broken clouds
528,La Ronge,CA,55.1001,-105.2842,68.25,77,100,8.05,smoke
529,Garanhuns,BR,-8.8903,-36.4928,62.02,97,63,6.76,broken clouds
530,Taoudenni,ML,22.6783,-3.9836,97.84,28,42,10.45,scattered clouds
531,La Mira,MX,18.035,-102.3266,86.25,63,97,9.62,overcast clouds
532,Humberto De Campos,BR,-2.5983,-43.4611,78.49,78,96,3.96,overcast clouds
533,Paamiut,GL,61.994,-49.6678,42.6,66,100,10.25,overcast clouds
534,Langham,CA,52.3668,-106.9679,66.04,65,100,19.8,overcast clouds
535,Khromtau,KZ,50.2503,58.4347,67.53,50,5,6.82,clear sky
536,Mehamn,NO,71.0357,27.8492,48.11,100,75,16.11,light intensity drizzle
537,Hovd,MN,48.0056,91.6419,54.34,56,94,3.18,overcast clouds
538,Ballina,AU,-28.8667,153.5667,55.78,99,95,3.96,overcast clouds
539,Forraskut,HU,46.3653,19.9097,73.06,72,67,0.78,broken clouds
540,Fuente Palmera,ES,37.7049,-5.0996,86.95,47,56,13.11,broken clouds
541,Stuttgart,DE,48.7823,9.177,66.54,85,0,1.14,clear sky
542,Bilma,NE,18.6853,12.9164,91.54,33,22,4.18,few clouds
543,Lahat,ID,-3.8,103.5333,71.19,98,100,2.13,overcast clouds
544,Luganville,VU,-15.5333,167.1667,77.07,87,97,13.4,overcast clouds
545,Binga,ZW,-17.6203,27.3414,70.27,43,3,1.68,clear sky
546,Coro,VE,11.4045,-69.6734,85.64,70,100,20.36,overcast clouds
547,Portales,US,34.1862,-103.3344,95.09,25,3,8.14,clear sky
548,Caribou,US,46.8606,-68.012,75.63,47,0,8.05,clear sky
549,Gobabis,NA,-22.45,18.9667,64.35,20,0,9.13,clear sky
550,Casper,US,42.8666,-106.3131,81.72,29,0,6.91,clear sky
551,Santa Catarina De Tepehuanes,MX,25.35,-105.7333,77.86,50,95,2.66,overcast clouds
552,Kargil,IN,34.5667,76.1,55.87,60,21,7.7,few clouds
553,Clarence Town,AU,-32.5833,151.7833,59.86,96,15,2.75,few clouds
554,Salaga,GH,8.5508,-0.5188,72.28,95,100,4.54,light rain
555,Aswan,EG,24.0934,32.907,96.1,23,0,8.05,clear sky
556,Dibrugarh,IN,27.4833,94.9,76.19,96,100,3.06,overcast clouds
557,Cusco,PE,-13.5183,-71.9781,59.23,23,40,9.22,scattered clouds
558,Dingle,PH,10.9995,122.6711,75.96,91,71,2.42,broken clouds
559,Butka,RU,56.7179,63.7866,56.95,62,10,5.03,clear sky
560,Makakilo City,US,21.3469,-158.0858,84.56,54,75,19.57,broken clouds
561,Chany,RU,55.3121,76.7647,53.38,67,0,8.46,clear sky
562,Okmulgee,US,35.6234,-95.9605,93.38,46,75,14.97,broken clouds
563,Yaan,NG,7.3833,8.5667,72.27,94,100,1.99,overcast clouds
564,Lokomotivnyy,RU,53.0118,60.5684,64.09,59,36,3.85,scattered clouds
565,Hongjiang,CN,27.11,109.9956,77.61,89,90,2.37,overcast clouds
566,Ferrol,ES,43.4832,-8.2369,63.59,97,99,2.01,overcast clouds
567,Tomatlan,MX,19.9333,-105.25,87.26,64,96,8.95,overcast clouds
568,Basoko,CD,1.2391,23.616,72.43,92,100,0.98,overcast clouds
569,Kolin,CZ,50.0281,15.2006,64.24,91,0,8.05,clear sky
570,Shellbrook,CA,53.2168,-106.4011,63.63,82,100,16.89,overcast clouds
571,Toamasina,MG,-18.1667,49.3833,68.0,88,40,2.3,scattered clouds
572,Linhai,CN,28.85,121.1167,78.93,79,66,0.89,broken clouds
573,Khambhaliya,IN,22.2072,69.6683,79.72,70,97,8.7,overcast clouds
574,Pontianak,ID,-0.0333,109.3333,75.18,100,75,2.3,broken clouds
575,Dawei,MM,14.0833,98.2,76.39,94,99,1.92,overcast clouds
576,Muzhi,RU,65.3667,64.6667,49.69,94,89,6.2,overcast clouds
577,Empalme,MX,27.9667,-110.8167,92.91,75,40,11.5,scattered clouds
578,Yasothon,TH,15.75,104.1333,77.0,88,36,3.8,light rain
579,Hoi An,VN,15.8794,108.335,78.76,86,100,5.61,overcast clouds
580,Alvand,IR,36.3187,49.1678,57.65,49,0,5.35,clear sky
581,Moyale,KE,3.5167,39.0584,72.3,49,43,14.18,scattered clouds
582,Port Shepstone,ZA,-30.7414,30.455,66.92,88,99,8.88,light rain
583,Kanturk,IE,52.1667,-8.9,62.22,88,99,4.05,overcast clouds
584,Emerald,AU,-23.5333,148.1667,57.34,81,0,7.76,clear sky
585,Tikhvin,RU,59.6451,33.5294,68.07,54,96,4.54,overcast clouds
586,Mattawa,US,46.7379,-119.9028,79.02,26,8,4.63,clear sky
587,Chongwe,ZM,-15.3292,28.682,65.28,38,0,4.83,clear sky
588,Galle,LK,6.0367,80.217,78.03,86,96,14.41,overcast clouds
589,Pingzhuang,CN,42.0372,119.2889,55.83,89,84,5.53,broken clouds
590,San Jeronimo,PE,-11.9472,-75.2829,57.7,48,96,7.18,overcast clouds
591,Port-Cartier,CA,50.0334,-66.8654,68.22,57,96,16.33,overcast clouds
592,Korla,CN,41.7597,86.1469,70.81,35,59,2.55,broken clouds
593,Half Moon Bay,US,37.4636,-122.4286,85.41,65,75,11.5,haze
594,Semme,FR,46.1963,1.5007,73.81,62,96,4.72,overcast clouds
595,Mandera,KE,3.9366,41.867,80.94,45,2,21.92,clear sky
596,Forestville,US,38.8451,-76.875,91.85,59,20,9.22,few clouds
597,Lieto,FI,60.5103,22.4618,59.94,95,75,6.91,light intensity shower rain
598,Biltine,TD,14.5333,20.9167,80.2,58,18,3.8,few clouds
599,West Fargo,US,46.875,-96.9004,69.8,88,100,6.91,drizzle
600,Marsh Harbour,BS,26.5412,-77.0636,84.88,70,3,12.75,clear sky
601,Vulcanesti,MD,45.6842,28.4028,76.73,35,0,1.74,clear sky
602,Domoni,KM,-12.2569,44.5319,72.77,77,0,4.79,clear sky
603,Hargeysa,SO,9.56,44.065,72.95,55,19,16.98,few clouds
604,Rimini,IT,44.0241,12.5186,74.62,69,100,8.01,overcast clouds
605,Lebowakgomo,ZA,-24.2,29.5,59.45,52,0,7.78,clear sky
606,Hobyo,SO,5.3505,48.5268,75.56,85,9,24.96,clear sky
607,Teguldet,RU,57.3064,88.1667,52.07,88,100,10.65,overcast clouds
608,Parry Sound,CA,45.3501,-80.033,80.65,47,100,6.15,overcast clouds
609,Barra Do Corda,BR,-5.5,-45.25,88.0,27,86,3.33,overcast clouds
610,Turukhansk,RU,65.8167,87.9833,34.2,99,100,3.09,light snow
611,Tabuk,PH,17.4189,121.4443,73.72,94,75,2.26,broken clouds
612,Kure,JP,34.2333,132.5667,74.14,72,39,7.72,scattered clouds
613,Trat,TH,12.5,102.5,82.87,94,93,4.63,heavy intensity rain
614,Tabas,IR,33.5959,56.9244,77.22,11,0,4.61,clear sky
615,Cozumel,MX,20.5083,-86.9458,93.27,69,40,8.01,scattered clouds
616,Canete,CL,-37.8,-73.4,58.3,70,0,5.03,clear sky
617,Kjopsvik,NO,68.097,16.3742,51.67,91,100,7.16,overcast clouds
618,Ulladulla,AU,-35.35,150.4667,52.77,89,11,4.99,few clouds
619,Kununurra,AU,-15.7667,128.7333,64.38,77,0,4.61,clear sky
620,Pinega,RU,64.7001,43.3936,59.13,84,9,5.77,clear sky
621,Lethem,GY,3.3803,-59.7968,78.85,89,20,9.22,few clouds
622,Angoche,MZ,-16.2325,39.9086,72.95,73,0,7.56,clear sky
623,Sola,VU,-13.8833,167.55,83.07,79,75,4.61,broken clouds
624,Alofi,NU,-19.0595,-169.9187,78.69,69,61,12.66,broken clouds
625,Valparaiso,CL,-33.0393,-71.6273,66.43,70,0,11.5,clear sky
626,Birjand,IR,32.8663,59.2211,63.07,15,0,4.61,clear sky
627,Puerto Leguizamo,CO,-0.1934,-74.7819,85.32,64,95,0.89,light rain
628,Walvis Bay,NA,-22.9575,14.5053,52.75,82,0,3.44,clear sky
629,Real,PH,14.6625,121.6047,79.23,85,66,2.37,broken clouds
630,Margate,GB,51.3813,1.3862,64.9,75,100,5.99,overcast clouds
631,Susehri,TR,40.1644,38.0867,66.63,85,1,4.61,clear sky
632,Malakal,SS,9.5334,31.6605,70.61,96,79,1.21,broken clouds
633,Lyuban,BY,52.7985,28.0048,62.06,54,23,3.89,few clouds
634,Turayf,SA,31.6725,38.6637,84.45,21,0,4.61,clear sky
635,Alamosa,US,37.4695,-105.87,78.78,22,0,0.0,clear sky
636,Ramsar,IR,36.9226,50.6426,74.64,78,0,2.3,clear sky
637,Mandurah,AU,-32.55,115.7,41.92,80,6,8.55,clear sky
638,Ust-Kulom,RU,61.6864,53.6902,58.3,95,4,3.62,clear sky
639,Banjar,ID,-8.19,114.9675,73.08,89,96,5.91,overcast clouds
640,Mnogovershinnyy,RU,53.9353,139.9242,47.79,98,99,4.56,overcast clouds
641,Raichur,IN,16.2,77.3667,78.19,79,100,2.01,overcast clouds
642,Sloboda,RU,51.1421,40.3021,80.33,17,66,17.74,broken clouds
643,Sungairaya,ID,0.7,108.9,75.61,90,100,3.67,overcast clouds
644,Port-Gentil,GA,-0.7193,8.7815,73.36,94,20,4.61,few clouds
645,Klobuck,PL,50.9008,18.9367,65.05,81,100,9.17,overcast clouds
646,Asfi,MA,32.2994,-9.2372,69.13,82,0,9.55,clear sky
647,Puerto Escondido,MX,15.85,-97.0667,83.23,61,100,16.11,overcast clouds
648,Horodnye,UA,45.8908,28.8483,75.85,38,0,3.29,clear sky
649,Slave Lake,CA,55.2834,-114.769,66.18,59,75,10.36,broken clouds
650,Matara,LK,5.9485,80.5353,77.29,88,92,12.55,overcast clouds
651,Lillooet,CA,50.6856,-121.942,75.97,42,44,5.1,scattered clouds
652,Sangar,RU,63.9242,127.4739,50.56,78,68,12.1,broken clouds
653,Gouloure,BF,12.2306,-1.9289,76.73,92,82,6.53,broken clouds
654,Pangkalanbuun,ID,-2.6833,111.6167,72.7,99,100,1.7,light rain
655,Kysyl-Syr,RU,63.8986,122.7617,48.06,87,99,7.63,overcast clouds
656,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,79.84,78,96,1.05,moderate rain
657,Les Cayes,HT,18.2,-73.75,84.74,67,95,12.03,overcast clouds
658,Puri,IN,19.8,85.85,82.92,80,41,7.87,scattered clouds
659,Gerash,IR,27.6652,54.1371,75.34,38,0,4.14,clear sky
660,San Fernando,PH,15.0286,120.6898,80.33,94,44,0.67,scattered clouds
661,Danilovka,RU,50.3557,44.1168,76.33,23,78,9.19,broken clouds
662,Bosilegrad,RS,42.5011,22.4724,68.92,52,94,2.19,overcast clouds
663,Koumac,NC,-20.5667,164.2833,71.74,81,93,6.02,overcast clouds
664,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.29,85,1,19.93,clear sky
665,Eten,PE,-6.9081,-79.8642,68.25,64,0,19.57,clear sky
666,Kisiwani,TZ,-4.1333,37.95,63.97,89,12,0.81,few clouds
667,Te Anau,NZ,-45.4167,167.7167,40.73,89,43,1.14,scattered clouds
668,Roma,US,43.2128,-75.4557,87.58,57,0,4.61,clear sky
669,Eirunepe,BR,-6.6603,-69.8736,80.47,70,99,3.22,overcast clouds
